Direction,Stop,Next Bus
Outbound,Silo & Center Island ,"8, 38m"
Outbound,La Rue & Orchard ,"11, 11m"
Outbound,Anderson & Russell ,"13, 13m"
Outbound,Anderson & Sunset ,"13, 13m"
Inbound,8th & Sycamore ,"15, 15m"
Inbound,Wake Forest & 8th Street ,"16, 16m"
Inbound,Wake Forest & Oxford ,"17, 17m"
Inbound,Sycamore & Wake Forest ,"18, 18m"
Inbound,La Rue & Orchard ,"21, 21m"
Inbound,Hutchison & Bioletti ,"24, 24m"
Inbound,Silo & Center Island ,"24, 24m"
